id;gender;grade;class;nfc_01;nfc_02;nfc_03;nfc_04;nfc_05;nfc_06;nfc_07;nfc_08;nfc_09;nfc_10;nfc_11;nfc_12;nfc_13;nfc_14;nfc_15;nfc_16;ipip_01;ipip_02;ipip_03;ipip_04;ipip_05;ipip_06;ipip_07;ipip_08;ipip_09;ipip_10;ipip_11;ipip_12;ipip_13;ipip_14;ipip_15;ipip_16;ipip_17;ipip_18;ipip_19;ipip_20;ipip_21;ipip_22;ipip_23;ipip_24;ipip_25;ipip_26;ipip_27;ipip_28;ipip_29;ipip_30;ipip_31;ipip_32;ipip_33;ipip_34;ipip_35;ipip_36;ipip_37;ipip_38;ipip_39;ipip_40;ipip_41;ipip_42;ipip_43;ipip_44;ipip_45;ipip_46;ipip_47;ipip_48;ipip_49;ipip_50
161;M;8;A;4;2;4;4;4;3;4;4;3;2;2;3;2;3;2;3;2;3;4;1;3;3;1;2;4;3;2;4;3;4;3;4;3;2;3;4;2;4;2;2;4;4;3;2;1;2;2;5;4;3;5;4;2;3;2;4;2;3;4;1;3;4;3;2;3;4
162;M;8;A;4;2;3;1;4;4;4;2;4;4;4;5;4;5;3;4;3;3;1;1;3;3;3;5;4;3;4;5;1;2;5;2;2;4;5;4;3;5;3;3;5;4;3;5;3;2;2;4;5;3;3;3;2;5;2;3;4;2;4;3;3;5;3;2;1;4
163;M;8;A;4;4;4;1;5;2;3;4;4;4;4;5;4;5;3;4;5;2;1;3;4;1;4;4;5;3;5;2;4;2;5;1;2;4;5;5;3;4;1;5;5;2;3;5;5;1;4;2;5;4;4;2;4;4;3;4;5;2;4;5;4;2;4;4;2;5
164;M;8;A;3;2;3;2;3;3;1;1;3;3;5;5;5;5;5;4;4;3;2;3;2;2;3;1;3;3;3;1;5;3;2;2;2;3;1;3;3;3;3;3;3;2;3;2;5;4;4;3;5;5;5;2;2;3;5;3;3;2;3;5;4;3;3;3;2;3
165;M;8;A;2;2;1;4;3;1;2;2;4;2;4;3;5;3;2;3;1;2;4;4;3;5;3;2;2;3;2;1;4;5;2;5;4;1;2;5;2;2;3;4;2;5;4;4;2;3;1;2;3;4;5;5;4;2;3;3;1;3;4;2;4;5;3;3;3;2
166;M;8;A;3;4;2;2;3;2;2;2;4;4;4;4;4;4;2;2;2;3;4;3;2;3;3;2;3;2;3;2;3;4;2;4;4;3;3;3;2;3;3;4;3;3;3;4;2;4;2;2;4;4;3;4;3;3;4;2;3;3;3;2;4;3;3;3;4;2
167;M;8;A;0;3;2;1;2;4;1;3;3;3;1;5;4;5;5;5;2;1;2;4;0;4;3;5;3;3;5;3;4;1;4;3;3;2;1;1;3;2;1;5;3;4;4;5;3;2;4;2;5;4;4;4;5;3;5;3;1;4;5;3;5;5;3;3;5;3
168;F;8;A;3;1;3;2;2;3;2;4;1;2;5;2;2;4;3;2;3;1;4;2;4;1;5;2;3;3;3;1;3;5;4;2;4;1;5;5;5;1;4;3;5;1;5;2;3;1;4;1;4;5;3;4;5;1;5;2;3;4;5;1;4;4;4;3;4;5
169;F;8;A;2;3;3;4;3;2;3;2;3;4;2;4;4;2;4;3;4;2;3;2;4;2;4;3;4;3;3;2;4;3;4;3;4;2;3;3;2;2;1;2;3;3;3;3;2;2;2;2;3;4;3;4;3;4;4;3;2;4;1;3;3;4;3;3;3;2
170;F;8;A;5;3;4;5;2;4;3;3;4;3;4;2;2;4;2;2;3;1;4;5;3;1;5;3;2;2;3;1;5;5;4;2;5;1;5;3;4;1;4;5;3;1;5;1;4;3;4;1;5;5;3;4;5;2;5;3;1;5;5;4;4;5;4;5;4;3
171;F;8;A;4;2;3;4;3;3;2;4;2;2;4;4;3;5;2;2;4;4;3;2;4;1;3;2;3;4;5;4;5;2;4;2;4;2;2;1;4;2;2;2;4;1;5;3;2;2;5;2;4;5;4;2;5;3;4;2;5;5;3;2;4;2;4;4;2;4
172;F;8;A;3;2;3;4;4;3;2;2;2;4;3;3;4;4;4;3;3;3;4;4;3;3;4;2;2;2;3;1;5;4;5;3;4;2;3;2;4;2;3;3;4;3;4;2;4;1;4;3;5;4;3;2;4;3;3;4;3;3;5;3;4;4;3;4;3;4
173;F;8;B;5;1;2;5;2;1;1;2;4;2;5;4;1;1;2;1;4;1;4;5;2;2;5;2;2;2;4;2;4;5;5;2;5;4;4;2;5;1;4;2;4;2;5;2;2;4;4;1;4;5;4;2;4;1;5;1;5;5;5;2;4;4;5;2;4;5
174;F;8;B;4;2;2;2;3;1;1;2;2;4;4;5;5;4;4;5;4;2;4;4;2;1;5;5;4;4;4;1;2;2;4;2;4;4;2;2;4;5;2;4;4;1;4;4;4;2;5;1;4;2;1;2;5;4;1;1;1;4;1;4;5;2;4;2;2;4
175;M;8;B;4;2;5;4;2;2;2;4;4;2;2;4;2;4;2;2;5;4;2;2;2;1;1;2;4;2;1;5;4;2;4;1;2;2;4;2;5;5;4;4;4;2;4;1;5;2;1;4;4;4;4;2;4;2;2;1;4;2;4;5;5;5;5;1;4;5
176;M;8;B;2;2;2;4;2;2;2;2;4;4;4;4;4;4;4;4;4;4;2;2;4;2;4;2;4;3;3;2;4;2;4;2;2;2;5;5;2;4;1;2;2;2;2;4;2;2;2;4;4;4;4;4;5;4;4;2;2;1;2;2;4;4;4;3;2;4
177;M;8;B;4;4;4;5;4;4;4;3;4;2;2;2;3;4;3;2;1;2;3;4;4;4;3;2;2;2;3;2;4;4;3;4;3;2;2;3;2;2;2;4;4;4;3;2;3;2;2;2;4;4;4;4;4;3;3;3;1;4;3;4;4;5;3;3;2;4
178;F;8;B;4;1;5;2;-99;1;1;4;1;4;5;5;5;5;5;5;5;2;4;5;4;1;5;1;1;1;4;2;5;5;5;1;5;2;1;1;5;1;2;5;5;1;5;1;5;1;5;1;5;5;4;1;5;4;5;4;5;5;2;5;5;1;5;2;5;5
179;M;8;B;4;3;4;3;5;4;4;3;3;4;4;2;5;2;2;2;3;4;3;3;1;3;5;2;1;3;2;2;3;4;3;2;5;3;2;3;2;1;3;4;2;5;5;4;3;4;3;2;4;3;1;3;4;4;3;2;3;5;2;2;4;3;3;2;4;2
180;F;8;B;4;4;4;4;1;1;2;1;3;2;5;5;3;1;4;4;3;3;2;4;3;2;3;3;2;4;2;3;2;5;3;2;4;5;2;3;2;2;1;5;2;4;3;4;5;2;4;2;2;5;2;3;5;4;5;2;5;4;4;5;5;4;3;3;4;2
181;M;8;B;4;4;3;3;1;2;3;2;4;4;3;2;4;3;3;2;4;2;3;2;2;1;3;4;4;4;4;2;2;2;3;1;3;3;3;3;5;2;1;3;2;2;2;4;4;3;4;1;2;3;4;1;4;4;3;2;5;4;2;4;3;1;1;3;2;4
182;M;8;B;3;3;3;3;3;2;2;3;4;3;4;3;3;3;3;3;4;3;3;2;3;1;4;3;3;3;4;2;4;2;5;2;3;2;2;1;3;2;3;3;4;2;4;2;3;1;4;1;4;3;3;2;4;2;4;3;5;3;4;3;2;2;2;3;2;5
183;F;8;B;4;2;3;3;1;1;2;2;2;4;4;4;1;3;4;3;4;2;3;2;4;1;3;5;3;3;5;2;2;4;4;1;3;3;5;4;5;1;2;2;4;1;3;4;5;2;4;3;2;4;4;2;5;3;4;2;5;4;3;4;2;3;3;2;2;4
184;M;8;B;3;3;5;2;5;5;2;2;5;4;3;2;3;2;4;4;5;3;2;3;4;1;5;4;4;3;4;5;2;3;5;1;4;4;4;3;4;4;4;3;5;1;5;4;5;1;4;5;3;5;4;1;4;4;4;3;5;4;3;5;4;3;5;3;2;5
185;F;8;B;4;4;3;4;2;1;1;2;2;4;2;4;4;2;4;4;3;1;3;4;2;4;5;4;2;4;3;2;4;5;5;5;4;3;1;3;2;1;2;4;3;4;4;5;4;4;3;2;4;3;1;5;4;3;3;2;1;4;3;4;4;5;-99;3;4;2
186;F;8;B;4;3;5;5;2;3;3;4;3;4;3;3;4;4;2;2;4;2;3;5;3;2;5;5;1;2;3;2;4;5;4;3;5;5;1;2;4;1;1;5;3;5;4;5;5;1;4;1;5;5;2;2;3;4;5;4;5;5;3;5;5;4;4;2;5;5
187;F;8;B;4;3;4;3;4;3;2;2;4;2;3;3;3;4;2;3;3;2;4;3;4;3;4;1;3;1;2;1;5;4;5;4;5;2;1;1;3;2;3;2;4;2;4;4;1;1;1;1;5;2;4;5;4;3;1;3;2;5;4;1;5;5;4;3;5;4
188;M;8;B;3;2;4;3;4;3;2;2;3;4;3;4;4;4;4;3;4;2;4;4;4;2;4;2;3;2;4;2;4;4;4;2;4;2;3;3;3;3;4;4;4;2;4;2;3;2;3;3;5;3;4;2;4;2;3;3;4;3;4;3;2;4;3;4;3;4
189;F;8;B;4;4;4;4;4;3;4;4;4;2;4;3;2;2;2;2;4;2;3;4;4;2;4;3;4;3;4;1;4;4;3;4;5;3;4;3;4;2;4;2;4;4;5;4;3;2;2;2;4;5;2;3;4;2;4;2;3;4;5;4;3;4;4;3;4;4
190;M;8;B;3;3;4;3;2;2;3;2;3;4;3;3;2;4;5;3;4;3;3;3;2;1;4;3;2;2;4;5;3;3;5;3;4;3;1;3;5;2;1;5;4;1;5;4;5;1;4;3;1;5;1;3;4;5;5;3;3;3;1;5;3;1;3;3;1;3
191;M;8;B;4;2;3;3;3;1;1;1;3;3;4;5;1;3;4;3;4;3;4;3;3;2;3;1;3;3;3;2;3;4;3;3;3;1;3;3;4;2;3;2;4;3;4;3;2;3;4;3;5;2;3;4;4;2;2;2;2;2;5;2;4;4;3;4;3;3
192;M;8;B;5;3;1;5;4;2;2;2;5;4;5;2;1;1;3;2;5;2;3;3;2;1;3;1;3;2;3;3;2;5;4;2;1;4;3;1;4;3;4;3;4;3;3;4;4;1;3;4;1;3;4;3;3;4;3;5;4;1;5;4;5;2;3;3;3;5
193;M;8;B;3;3;3;3;2;1;2;3;3;3;2;3;3;3;2;3;3;4;3;2;3;1;3;3;2;3;5;2;2;3;3;2;4;2;2;3;4;2;3;3;3;2;4;5;1;3;5;3;1;3;2;5;4;4;3;3;5;3;4;2;3;5;3;3;1;4
194;M;8;B;4;5;2;3;4;3;3;2;5;4;3;4;5;3;3;2;2;2;3;4;4;5;4;4;5;3;2;2;4;4;2;4;4;3;3;3;2;2;1;4;3;2;4;5;3;3;2;1;4;3;4;5;3;4;4;4;1;4;3;3;4;5;3;3;3;4
195;M;8;B;2;3;3;4;3;4;2;2;3;3;4;4;4;4;5;3;4;2;3;5;2;3;3;3;3;3;3;1;4;4;3;3;4;4;4;3;3;2;3;4;2;3;4;2;5;3;4;2;3;5;1;3;3;2;4;4;3;4;4;5;4;4;3;3;4;3
196;F;8;B;3;2;5;4;5;1;1;2;3;3;5;4;2;4;3;2;4;1;3;4;3;1;4;1;3;2;5;1;3;5;5;1;5;2;3;2;4;2;1;4;5;3;5;4;5;1;5;1;3;4;2;3;2;3;4;1;5;5;4;5;5;2;4;3;3;4
197;M;8;B;5;5;4;3;3;4;3;4;5;4;2;2;1;2;3;3;3;2;3;1;3;1;4;2;5;2;5;3;5;4;4;2;4;2;4;3;4;2;4;2;4;2;4;3;2;2;4;2;4;2;4;2;4;2;1;2;3;3;5;1;3;2;3;2;1;4
198;M;8;B;4;2;4;5;5;4;3;2;-99;-99;-99;-99;-99;-99;-99;-99;3;2;4;2;5;2;3;2;5;3;4;1;5;3;4;2;4;2;4;3;4;1;4;4;5;2;5;3;1;2;2;2;4;1;5;4;4;2;3;4;3;4;4;1;2;3;4;3;1;5
199;M;8;B;5;5;5;5;4;3;5;5;5;1;5;5;3;5;2;5;5;1;4;1;4;1;3;2;4;4;5;5;4;3;5;1;4;5;4;4;5;1;2;2;4;2;5;5;2;1;5;2;3;5;5;1;5;3;5;5;5;5;3;2;5;1;5;3;2;5
200;M;8;B;1;3;1;1;1;3;3;3;3;1;5;5;3;1;5;3;4;2;3;2;3;1;5;2;5;3;5;1;3;2;4;4;4;3;1;3;2;3;4;3;4;2;4;3;1;1;3;3;1;3;3;5;3;3;1;3;3;3;3;1;3;1;3;3;1;5
201;M;8;B;3;3;4;4;2;2;3;3;5;4;5;4;4;4;5;3;4;2;3;2;3;2;4;3;2;3;5;2;3;5;3;3;2;2;2;3;3;4;3;2;3;3;4;3;2;4;4;2;3;3;4;3;4;2;3;2;4;2;4;2;4;3;3;4;2;3
202;M;8;B;3;5;4;4;2;4;1;2;5;4;5;5;4;3;4;5;2;1;5;4;3;2;5;2;4;2;5;1;5;4;5;3;4;1;5;3;2;3;4;5;4;3;5;1;4;3;2;3;4;2;4;4;5;3;3;4;4;5;5;4;5;4;4;4;2;3
203;M;8;B;2;1;3;2;1;5;1;1;2;4;3;5;4;3;5;5;2;2;3;4;2;4;2;2;3;4;4;3;2;2;3;2;2;1;1;4;3;3;2;5;4;2;3;2;5;4;3;3;3;4;1;4;3;4;3;2;2;3;4;5;2;2;1;5;2;4
204;M;8;B;2;4;2;3;1;2;4;4;3;3;3;2;2;4;4;4;5;4;2;1;1;1;3;1;5;1;1;4;5;1;5;3;1;1;3;3;3;1;5;1;5;5;5;3;5;1;1;1;5;1;1;5;5;1;1;2;0;3;2;5;1;1;5;1;1;5
205;M;8;B;3;2;3;3;1;4;3;3;3;4;3;3;3;4;3;3;3;3;4;2;3;1;3;3;4;3;3;3;2;3;2;4;3;2;2;3;3;2;3;2;4;3;3;4;3;2;3;2;4;3;2;3;3;3;3;3;2;3;3;2;3;1;3;3;2;3
206;M;8;B;2;2;5;3;1;1;1;1;3;4;3;5;3;5;5;3;2;3;4;3;5;1;4;4;3;3;3;4;4;4;3;4;4;3;3;3;4;1;3;5;5;1;5;4;3;2;4;2;5;5;2;2;5;3;4;2;4;5;4;5;3;3;3;3;4;5
207;F;8;B;4;1;5;4;4;5;2;4;4;3;5;5;5;5;3;5;2;3;4;5;4;5;1;3;2;4;1;3;4;4;4;5;3;1;2;3;2;5;3;3;1;3;3;2;3;2;1;3;5;4;2;5;3;1;3;4;1;2;1;3;5;5;3;3;4;3
208;F;8;B;4;2;4;3;4;1;1;2;2;3;3;4;2;3;2;3;4;1;4;1;4;2;5;3;4;1;3;1;4;2;4;2;5;1;3;2;3;1;3;1;4;3;5;2;1;2;3;2;5;2;5;1;4;2;3;3;5;5;4;1;4;2;4;3;2;4
209;F;8;B;1;1;4;4;1;2;1;1;1;5;3;5;3;5;4;1;2;3;3;4;3;1;4;4;3;3;2;4;4;4;2;4;4;1;2;3;4;4;2;4;2;2;3;4;1;3;3;4;3;3;2;3;5;4;3;1;2;4;3;1;5;4;3;3;2;2
210;F;8;B;4;2;4;3;1;1;4;2;5;4;5;5;3;5;2;3;4;2;4;4;3;2;5;2;2;2;4;1;4;1;4;3;5;2;2;3;5;1;3;5;3;1;5;4;4;1;5;1;5;3;4;4;5;4;2;1;1;5;2;4;5;3;4;3;5;5
211;F;8;B;4;3;3;3;3;2;2;3;4;4;3;3;4;5;4;2;2;1;3;4;3;2;3;2;1;3;2;1;2;5;3;3;4;3;4;4;2;2;3;5;2;2;3;4;5;3;3;2;4;5;3;3;3;2;5;2;2;5;3;5;3;4;0;4;5;4
212;M;8;C;2;1;3;2;3;1;1;2;3;4;4;2;1;3;2;3;3;4;3;4;2;2;3;2;2;3;3;2;2;3;2;5;2;2;3;3;2;4;2;4;2;4;3;5;4;3;2;4;4;4;2;3;3;4;4;3;4;2;4;4;4;4;3;3;4;2
213;M;8;C;2;4;2;3;3;2;1;4;4;3;4;5;2;5;4;4;3;3;4;4;2;1;3;5;3;2;5;3;2;1;4;2;4;3;3;4;4;2;2;4;3;4;4;4;4;3;4;3;4;3;2;5;4;4;3;2;2;4;3;4;3;4;3;3;1;5
214;M;8;C;1;3;3;1;1;1;1;3;5;3;5;5;3;3;5;4;4;3;2;1;1;1;1;1;1;5;3;4;1;1;5;3;3;5;1;1;4;1;1;5;1;3;4;5;5;2;5;3;5;3;2;5;2;3;3;4;4;1;1;5;3;1;5;1;1;1
215;F;8;C;4;2;1;4;3;1;3;2;5;1;4;4;3;4;3;3;2;2;2;5;4;1;4;4;2;4;3;1;5;5;4;3;4;4;2;2;2;2;2;5;4;4;4;5;4;1;3;2;3;4;2;3;5;4;4;2;4;4;1;4;5;3;3;3;4;4
216;M;8;C;3;1;5;4;1;2;5;5;5;5;5;5;3;5;5;2;4;2;3;5;4;1;4;2;4;2;4;1;5;4;5;2;4;4;4;1;3;3;5;5;5;1;3;4;5;1;4;2;5;5;3;1;5;3;3;2;2;4;4;4;5;4;2;1;3;4
217;M;8;C;3;5;4;3;1;3;3;2;3;3;4;1;3;2;3;3;5;3;2;2;5;1;1;2;4;3;5;3;2;3;5;2;3;2;3;3;5;1;3;2;4;1;5;3;4;1;5;4;2;3;3;3;5;1;3;3;3;4;4;3;3;2;5;2;1;5
218;M;8;C;4;1;5;4;1;4;4;4;4;5;5;3;4;3;5;5;2;0;3;4;2;1;5;1;4;3;5;4;5;5;5;1;4;5;3;1;5;3;2;5;4;1;3;5;4;1;4;2;5;5;3;1;5;1;3;4;1;2;4;5;3;2;0;4;2;5
219;F;8;C;2;2;4;4;2;2;2;3;4;3;1;4;3;4;3;2;3;2;2;4;3;3;4;2;2;1;2;1;4;4;4;4;5;4;4;1;3;2;1;4;3;2;4;5;4;2;3;1;4;4;4;4;4;4;4;4;2;5;3;2;4;4;3;1;3;4
220;F;8;C;4;2;3;4;4;1;2;2;4;2;2;3;5;4;2;3;2;4;4;3;3;4;2;4;2;3;2;2;4;2;4;4;4;2;4;2;4;2;3;4;3;2;4;4;3;1;4;2;5;4;3;3;4;4;3;2;2;4;2;4;5;4;3;4;2;4
221;M;8;C;4;2;5;4;5;1;2;5;5;3;4;5;2;1;1;4;4;4;1;3;4;1;4;5;4;3;5;4;3;4;5;4;4;5;2;3;4;1;2;5;4;0;2;5;5;1;3;2;2;4;1;2;4;5;3;1;4;4;2;5;4;3;3;5;3;4
222;M;8;C;4;4;3;4;3;4;4;2;4;4;2;2;2;2;2;2;3;2;2;2;3;2;2;3;4;2;2;1;4;4;4;2;4;2;4;2;4;4;3;2;4;2;4;3;3;2;3;2;2;2;4;3;4;2;2;2;3;4;2;2;4;4;3;3;2;4
223;M;8;C;1;3;4;2;3;1;2;1;3;3;3;4;3;3;2;2;4;3;3;2;3;4;3;2;4;4;4;3;3;3;3;2;3;2;2;2;3;2;4;3;4;3;4;4;2;3;5;2;3;3;4;3;3;4;3;2;2;3;3;2;3;1;3;4;2;3
224;F;8;C;1;2;2;3;3;2;1;2;1;3;3;4;5;3;4;5;2;2;2;3;2;3;3;4;3;3;2;3;3;3;3;3;4;3;3;3;2;2;2;5;2;3;3;4;4;3;1;2;2;5;1;3;4;4;4;2;2;3;2;4;3;4;3;3;3;1
225;F;8;C;2;2;5;3;3;1;2;2;4;4;5;4;3;4;3;3;4;2;3;4;3;3;3;3;2;4;3;3;2;4;4;3;4;2;4;3;2;2;2;4;3;4;3;4;4;2;3;2;4;4;3;2;4;3;4;2;4;3;2;4;4;5;2;3;4;4
226;M;8;D;3;3;4;3;3;2;3;3;4;4;3;5;5;3;3;3;2;3;4;1;2;5;3;4;3;3;4;2;4;3;5;4;1;1;2;3;1;3;1;2;4;5;4;1;4;1;2;3;5;2;1;5;4;3;2;2;2;3;4;4;4;4;4;3;2;4
227;M;8;D;3;4;5;4;1;1;2;2;3;4;3;4;3;4;3;3;4;2;3;3;4;2;4;3;3;2;4;3;4;4;2;3;2;3;2;2;2;2;4;3;3;2;4;2;5;2;4;3;4;4;3;2;4;2;2;2;4;3;3;5;3;2;4;3;1;4
228;M;8;D;2;3;4;3;2;1;1;2;3;4;2;4;5;5;3;4;5;3;4;2;5;4;2;1;3;2;3;4;4;3;4;2;2;3;2;3;2;2;1;4;5;2;1;4;4;5;4;3;2;4;3;5;3;4;4;2;3;2;4;5;3;2;3;4;2;5
229;M;8;D;3;2;4;4;3;2;2;2;3;4;4;4;4;2;3;4;4;3;3;2;0;2;3;3;4;2;2;3;4;2;4;4;2;2;2;3;3;2;2;3;4;3;4;4;3;2;3;3;3;4;2;3;3;4;3;2;4;2;3;3;2;4;3;3;2;4
230;M;8;D;4;3;3;4;3;1;2;3;4;2;2;4;5;4;3;3;4;3;2;4;4;2;3;3;2;3;3;4;4;4;4;2;2;3;2;3;2;2;1;3;3;4;3;4;4;2;4;2;4;5;5;2;4;4;4;2;5;4;2;4;5;3;3;2;4;3
231;M;8;D;5;3;3;4;5;5;3;4;2;1;3;2;3;2;1;1;5;2;4;2;2;1;4;1;5;1;5;4;5;4;5;1;4;3;5;1;5;1;4;3;4;1;4;4;4;1;4;2;5;4;4;2;5;2;4;3;5;5;3;4;5;3;4;4;1;5
232;M;8;D;4;3;3;4;4;4;2;3;4;2;3;4;3;4;4;3;3;4;3;4;2;4;3;1;4;4;3;2;2;4;4;3;3;4;4;3;4;4;4;5;3;4;4;4;5;4;2;3;4;4;3;3;4;2;3;2;1;4;3;4;4;5;3;4;3;4
233;M;8;D;1;3;4;5;2;1;1;1;4;4;5;5;5;5;5;5;5;2;2;5;2;1;5;1;5;4;5;4;5;5;5;1;4;5;4;4;5;2;1;5;4;3;5;5;5;5;5;4;4;5;4;2;3;4;5;3;4;2;4;5;4;1;4;3;4;5
234;M;8;D;4;2;4;4;4;2;3;1;4;4;4;4;3;4;3;4;3;2;4;3;4;4;4;2;3;2;4;2;4;4;4;4;3;1;4;4;3;3;5;4;4;3;4;2;3;2;2;3;5;3;4;4;3;2;3;2;3;4;5;2;4;4;4;3;2;4
235;F;8;D;3;4;4;4;4;3;4;4;4;3;3;3;3;3;2;2;3;2;2;2;4;3;3;2;4;2;3;3;3;3;4;3;3;2;3;3;3;3;2;2;3;2;4;3;3;1;3;3;2;3;4;4;4;3;3;3;2;3;3;3;4;3;4;3;2;3
236;F;8;D;5;2;4;5;4;3;3;4;4;4;4;4;2;4;3;3;4;1;3;5;3;3;5;4;2;5;2;3;5;4;3;4;5;2;2;2;3;1;3;4;5;4;4;4;5;2;2;1;3;4;4;4;3;2;4;3;2;4;4;4;4;4;4;4;5;5
237;F;8;D;1;2;5;1;1;1;1;1;4;5;4;5;5;5;5;1;4;2;2;3;5;1;4;3;4;1;5;4;4;5;5;1;4;2;2;2;5;3;5;4;5;1;4;2;5;1;5;3;5;3;2;1;5;4;4;5;4;4;5;5;1;4;4;4;2;4
238;F;8;D;4;0;4;4;1;1;1;0;3;3;5;3;1;3;4;3;4;5;2;5;3;1;5;3;2;1;3;4;4;5;5;3;4;5;2;1;2;1;3;5;3;4;3;5;3;3;3;1;3;5;3;3;5;3;5;3;2;5;2;3;5;3;3;3;5;5
239;F;8;D;3;1;3;4;4;1;2;2;2;2;5;4;5;4;3;2;3;5;2;4;4;2;2;2;3;3;2;2;4;5;5;3;4;3;3;1;2;3;2;4;3;5;4;4;3;1;3;2;5;4;3;4;4;3;4;1;3;5;4;2;4;5;3;3;3;4
240;F;8;D;3;2;4;5;4;4;3;2;4;2;4;4;3;4;2;1;3;1;3;3;4;4;5;1;3;1;3;3;4;4;5;4;4;2;3;1;3;2;2;4;3;4;3;4;4;1;1;2;4;3;4;3;3;2;1;3;4;4;3;4;5;5;3;4;3;5
241;F;8;D;2;3;3;4;3;2;1;4;2;3;4;4;4;4;4;3;2;2;2;3;2;4;3;4;3;4;3;1;4;4;3;4;4;2;3;3;2;2;2;3;3;4;3;4;3;4;2;2;3;4;1;5;4;4;2;1;1;4;3;2;3;5;3;3;4;2
242;F;9;A;2;4;4;4;3;3;4;4;4;2;2;2;2;4;2;2;2;2;4;4;2;4;4;2;2;4;2;4;4;5;4;4;5;4;5;2;4;1;4;4;2;4;4;2;4;2;4;2;4;4;2;5;4;2;4;4;2;5;4;4;5;4;3;4;5;4
